""	"x"
"443"	"Missouri"
"444"	"Missouri"
"445"	"Missouri"
"446"	"Nevada"
"447"	"Nevada"
"448"	"Nevada"
"449"	"Nevada"
"450"	"Nevada"
"451"	"Nevada"
"452"	"Nevada"
"453"	"Nevada"
"454"	"Nevada"
"455"	"Nevada"
"456"	"Nevada"
"457"	"Nevada"
"458"	"Nevada"
"459"	"Nevada"
"460"	"Nevada"
"461"	"Nevada"
"462"	"Nevada"
"463"	"Nevada"
"464"	"Nevada"
"465"	"Nevada"
"466"	"Nevada"
"467"	"Nevada"
"468"	"Nevada"
"469"	"Nevada"
"470"	"Nevada"
"471"	"Nevada"
"472"	"Nevada"
"473"	"New Hampshire"
"474"	"New Hampshire"
"475"	"New Hampshire"
"476"	"New Hampshire"
"477"	"New Hampshire"
"478"	"New Hampshire"
"479"	"New Hampshire"
"480"	"New Hampshire"
"481"	"New Hampshire"
"482"	"New Jersey"
"483"	"New Jersey"
"484"	"New Jersey"
"485"	"New Jersey"
"486"	"New Jersey"
"487"	"New Jersey"
"488"	"New Jersey"
"489"	"New Jersey"
"490"	"New Jersey"
"491"	"New Jersey"
"492"	"New Jersey"
"493"	"New Jersey"
"494"	"New Jersey"
"495"	"New Jersey"
"496"	"New Jersey"
"497"	"New Jersey"
"498"	"New Jersey"
"499"	"New Jersey"
"500"	"New Jersey"
"501"	"New Jersey"
"502"	"New Jersey"
"503"	"New Jersey"
"504"	"New Jersey"
"505"	"New Jersey"
"506"	"New Jersey"
"507"	"New Jersey"
"508"	"New Jersey"
"509"	"New Jersey"
"510"	"New Mexico"
"511"	"New Mexico"
"512"	"New Mexico"
"513"	"New Mexico"
"514"	"New Mexico"
"515"	"New Mexico"
"516"	"New Mexico"
"517"	"New Mexico"
"518"	"New Mexico"
"519"	"New Mexico"
"520"	"New Mexico"
"521"	"New Mexico"
"522"	"New Mexico"
"523"	"New Mexico"
"524"	"New Mexico"
"525"	"New Mexico"
"526"	"New Mexico"
"527"	"New Mexico"
"528"	"New Mexico"
"529"	"New Mexico"
"530"	"New Mexico"
"531"	"New Mexico"
"532"	"New Mexico"
"533"	"New Mexico"
"534"	"New York"
"535"	"New York"
"536"	"New York"
"537"	"New York"
"538"	"New York"
"539"	"New York"
"540"	"New York"
"541"	"New York"
"542"	"New York"
"543"	"New York"
"544"	"New York"
"545"	"New York"
"546"	"New York"
"547"	"New York"
"548"	"New York"
"549"	"New York"
"550"	"New York"
"551"	"New York"
"552"	"New York"
"553"	"New York"
"554"	"New York"
"555"	"New York"
"556"	"New York"
"557"	"New York"
"558"	"New York"
"559"	"New York"
"560"	"North Carolina"
"561"	"North Carolina"
"562"	"North Carolina"
"563"	"North Carolina"
"564"	"North Carolina"
"565"	"North Carolina"
"566"	"North Carolina"
"567"	"North Carolina"
"568"	"North Carolina"
"569"	"North Carolina"
"570"	"North Carolina"
"571"	"North Carolina"
"572"	"North Carolina"
"573"	"North Carolina"
"574"	"North Carolina"
"575"	"North Carolina"
"576"	"North Carolina"
"577"	"North Dakota"
"578"	"North Dakota"
"579"	"North Dakota"
"580"	"North Dakota"
"581"	"North Dakota"
"582"	"North Dakota"
"583"	"North Dakota"
"584"	"North Dakota"
"585"	"North Dakota"
"586"	"North Dakota"
"587"	"North Dakota"
"588"	"North Dakota"
"589"	"Ohio"
"590"	"Ohio"
"591"	"Ohio"
"592"	"Ohio"
"593"	"Ohio"
"594"	"Ohio"
"595"	"Ohio"
"596"	"Ohio"
"597"	"Ohio"
"598"	"Ohio"
"599"	"Ohio"
"600"	"Ohio"
"601"	"Ohio"
"602"	"Ohio"
"603"	"Ohio"
"604"	"Ohio"
"605"	"Ohio"
"606"	"Ohio"
"607"	"Ohio"
"608"	"Ohio"
"609"	"Ohio"
"610"	"Ohio"
"611"	"Oklahoma"
"612"	"Oklahoma"
"613"	"Oklahoma"
"614"	"Oklahoma"
"615"	"Oklahoma"
"616"	"Oklahoma"
"617"	"Oklahoma"
"618"	"Oklahoma"
"619"	"Oklahoma"
"620"	"Oklahoma"
"621"	"Oklahoma"
"622"	"Oklahoma"
"623"	"Oklahoma"
"624"	"Oklahoma"
"625"	"Oregon"
"626"	"Oregon"
"627"	"Oregon"
"628"	"Oregon"
"629"	"Oregon"
"630"	"Oregon"
"631"	"Oregon"
"632"	"Oregon"
"633"	"Oregon"
"634"	"Oregon"
"635"	"Oregon"
"636"	"Oregon"
"637"	"Oregon"
"638"	"Oregon"
"639"	"Oregon"
"640"	"Oregon"
"641"	"Pennsylvania"
"642"	"Pennsylvania"
"643"	"Pennsylvania"
"644"	"Pennsylvania"
"645"	"Pennsylvania"
"646"	"Pennsylvania"
"647"	"Pennsylvania"
"648"	"Pennsylvania"
"649"	"Pennsylvania"
"650"	"Pennsylvania"
"651"	"Pennsylvania"
"652"	"Pennsylvania"
"653"	"Pennsylvania"
"654"	"Pennsylvania"
"655"	"Pennsylvania"
"656"	"Pennsylvania"
"657"	"Pennsylvania"
"658"	"Pennsylvania"
"659"	"Pennsylvania"
"660"	"Rhode Island"
"661"	"Rhode Island"
"662"	"Rhode Island"
"663"	"Rhode Island"
"664"	"Rhode Island"
"665"	"Rhode Island"
"666"	"Rhode Island"
"667"	"Rhode Island"
"668"	"Rhode Island"
"669"	"Rhode Island"
"670"	"Rhode Island"
"671"	"Rhode Island"
"672"	"Rhode Island"
"673"	"Rhode Island"
"674"	"South Carolina"
"675"	"South Carolina"
"676"	"South Carolina"
"677"	"South Carolina"
"678"	"South Carolina"
"679"	"South Dakota"
"680"	"South Dakota"
"681"	"South Dakota"
"682"	"South Dakota"
"683"	"South Dakota"
"684"	"South Dakota"
"685"	"South Dakota"
"686"	"South Dakota"
"687"	"South Dakota"
"688"	"South Dakota"
"689"	"South Dakota"
"690"	"Tennessee"
"691"	"Texas"
"692"	"Texas"
"693"	"Texas"
"694"	"Texas"
"695"	"Texas"
"696"	"Texas"
"697"	"Texas"
"698"	"Texas"
"699"	"Texas"
"700"	"Texas"
"701"	"Texas"
"702"	"Texas"
"703"	"Texas"
"704"	"Texas"
"705"	"Texas"
"706"	"Texas"
"707"	"Texas"
"708"	"Texas"
"709"	"Texas"
"710"	"Texas"
"711"	"Utah"
"712"	"Utah"
"713"	"Utah"
"714"	"Utah"
"715"	"Utah"
"716"	"Utah"
"717"	"Utah"
"718"	"Utah"
"719"	"Utah"
"720"	"Utah"
"721"	"Utah"
"722"	"Utah"
"723"	"Utah"
"724"	"Utah"
"725"	"Utah"
"726"	"Utah"
"727"	"Utah"
"728"	"Utah"
"729"	"Utah"
"730"	"Utah"
"731"	"Utah"
"732"	"Utah"
"733"	"Utah"
"734"	"Virginia"
"735"	"Virginia"
"736"	"Virginia"
"737"	"Virginia"
"738"	"Virginia"
"739"	"Virginia"
"740"	"Virginia"
"741"	"Virginia"
"742"	"Virginia"
"743"	"Virginia"
"744"	"Virginia"
"745"	"Virginia"
"746"	"Virginia"
"747"	"Virginia"
"748"	"Washington"
"749"	"Washington"
"750"	"Washington"
"751"	"Washington"
"752"	"Washington"
"753"	"Washington"
"754"	"Washington"
"755"	"Washington"
"756"	"Washington"
"757"	"Washington"
"758"	"Washington"
"759"	"Washington"
"760"	"Washington"
"761"	"Washington"
"762"	"Washington"
"763"	"Washington"
"764"	"Washington"
"765"	"Washington"
"766"	"Washington"
"767"	"Washington"
"768"	"Washington"
"769"	"Wyoming"
"770"	"Wyoming"
"771"	"Wyoming"
"772"	"Wyoming"
"773"	"Wyoming"
"774"	"Wyoming"
"775"	"Wyoming"
"776"	"Wyoming"
"777"	"Wyoming"
"778"	"Wyoming"
